shot_context,attackers_slot_group,chains,chain_goals,chain_goal_rate,mean_first_evaluated_xg
oz_entry_5s_proxy,0,1927,36,0.01868188894654904,0.011902359962944507
oz_entry_5s_proxy,1,1398,35,0.02503576537911302,0.015327803587009038
oz_entry_5s_proxy,2,610,20,0.03278688524590164,0.019710111258299565
oz_entry_5s_proxy,3+,85,1,0.011764705882352941,0.024562009558191194
oz_faceoff_5s,0,431,9,0.02088167053364269,0.014024007019614952
oz_faceoff_5s,1,891,22,0.024691358024691357,0.01622890636252237
oz_faceoff_5s,2,672,19,0.028273809523809524,0.016571095939677132
oz_faceoff_5s,3+,121,6,0.049586776859504134,0.01736643929650222
settled_offensive_zone_proxy,0,5909,114,0.01929260450160772,0.012746803864757808
settled_offensive_zone_proxy,1,5912,155,0.02621786197564276,0.018588165224861248
settled_offensive_zone_proxy,2,3145,108,0.03434022257551669,0.02120841682295571
settled_offensive_zone_proxy,3+,421,11,0.026128266033254157,0.023004323306312063
